linear_estimate,date
1.0541254,15aug2012
1.0528314,16aug2012
1.0515914,17aug2012
1.0504051,18aug2012
1.0492725,19aug2012
1.0481935,20aug2012
1.0471678,21aug2012
1.0461953,22aug2012
1.0452758,23aug2012
1.0444094,24aug2012
1.0435957,25aug2012
1.0428354,26aug2012
1.0421273,27aug2012
1.041472,28aug2012
1.0408694,29aug2012
1.040319,30aug2012
1.0398214,31aug2012
1.0393761,01sep2012
1.0389832,02sep2012
1.0386426,03sep2012
1.0383543,04sep2012
1.0381184,05sep2012
1.0379347,06sep2012
1.0378031,07sep2012
1.0377239,08sep2012
1.037697,09sep2012
1.0377223,10sep2012
1.0377998,11sep2012
1.0379295,12sep2012
1.0381117,13sep2012
1.0383458,14sep2012
1.0386328,15sep2012
1.0389721,16sep2012
1.0393635,17sep2012
1.0398077,18sep2012
1.0403044,19sep2012
1.0408539,20sep2012
1.0414561,21sep2012
1.0421112,22sep2012
1.0428191,23sep2012
1.0435801,24sep2012
1.0443939,25sep2012
1.0452611,26sep2012
1.0461813,27sep2012
1.0471553,28sep2012
1.0481826,29sep2012
1.0492641,30sep2012
1.0503989,01oct2012
1.0515882,02oct2012
1.0528312,03oct2012
1.0541288,04oct2012
1.0554807,05oct2012
1.0568874,06oct2012
1.0583491,07oct2012
1.0598657,08oct2012
1.0614374,09oct2012
1.0630646,10oct2012
1.0647476,11oct2012
1.0664864,12oct2012
1.0682812,13oct2012
1.0701324,14oct2012
1.07204,15oct2012
1.0740048,16oct2012
1.0760262,17oct2012
1.0781052,18oct2012
1.0802418,19oct2012
1.0824363,20oct2012
1.0846888,21oct2012
1.0869999,22oct2012
1.0893699,23oct2012
1.0917987,24oct2012
1.0942872,25oct2012
1.0968351,26oct2012
1.0994431,27oct2012
1.1021115,28oct2012
1.1048408,29oct2012
1.1076308,30oct2012
1.1104823,31oct2012
1.1133957,01nov2012
1.1163708,02nov2012
1.119409,03nov2012
1.1225097,04nov2012
1.125674,05nov2012
1.1289022,06nov2012
1.1321944,07nov2012
1.1355511,08nov2012
1.138973,09nov2012
1.1424601,10nov2012
1.1460131,11nov2012
1.1496327,12nov2012
1.1533191,13nov2012
1.1570728,14nov2012
1.1608943,15nov2012
1.1647843,16nov2012
1.1687428,17nov2012
1.1727706,18nov2012
1.1768684,19nov2012
1.1810366,20nov2012
1.1852756,21nov2012
1.1895862,22nov2012
1.1939687,23nov2012
1.198424,24nov2012
1.2029521,25nov2012
1.2075545,26nov2012
1.2122309,27nov2012
1.231667,28nov2012
1.2514257,29nov2012
1.2715129,30nov2012
1.2919345,01dec2012
1.3126957,02dec2012
1.3338026,03dec2012
1.3552612,04dec2012
1.3770778,05dec2012
1.3992579,06dec2012
1.4218085,07dec2012
1.4447356,08dec2012
1.4680458,09dec2012
1.4917455,10dec2012
1.515842,11dec2012
1.5403416,12dec2012
1.5652514,13dec2012
1.5905788,14dec2012
1.6163306,15dec2012
1.6425143,16dec2012
1.6691369,17dec2012
1.6962072,18dec2012
1.7237313,19dec2012
1.7517183,20dec2012
1.7801763,21dec2012
1.8091129,22dec2012
1.8385361,23dec2012
1.8684551,24dec2012
1.8988776,25dec2012
1.9298128,26dec2012
1.9612695,27dec2012
1.9932568,28dec2012
2.025784,29dec2012
2.0588603,30dec2012
2.0924952,31dec2012
2.126698,01jan2013
2.161479,02jan2013
2.1968482,03jan2013
2.2328155,04jan2013
2.2693913,05jan2013
2.3065867,06jan2013
2.3444114,07jan2013
2.3828771,08jan2013
2.4219944,09jan2013
2.4617753,10jan2013
2.5022302,11jan2013
2.543371,12jan2013
2.5852106,13jan2013
2.6277597,14jan2013
2.6710317,15jan2013
2.7150388,16jan2013
2.7597926,17jan2013
2.8053074,18jan2013
2.8515961,19jan2013
2.8986714,20jan2013
2.9465475,21jan2013
2.9952381,22jan2013
3.0447567,23jan2013
3.0951185,24jan2013
3.146337,25jan2013
3.1984284,26jan2013
3.2514064,27jan2013
3.3052874,28jan2013
3.3600857,29jan2013
3.4158182,30jan2013
3.4725001,31jan2013
3.530148,01feb2013
3.588779,02feb2013
3.6484094,03feb2013
3.7090571,04feb2013
3.7707388,05feb2013
3.8334732,06feb2013
3.8972781,07feb2013
3.9621708,08feb2013
4.0281711,09feb2013
4.0952978,10feb2013
4.1635699,11feb2013
4.2330074,12feb2013
4.3036304,13feb2013
4.3754587,14feb2013
4.448513,15feb2013
4.5228148,16feb2013
4.5983853,17feb2013
4.6752458,18feb2013
4.7534175,19feb2013
4.8329253,20feb2013
4.9137902,21feb2013
4.9960351,22feb2013
5.0796843,23feb2013
5.1647611,24feb2013
5.2512913,25feb2013
5.3392978,26feb2013
5.4288073,27feb2013
5.5198431,28feb2013
5.6124344,01mar2013
5.706604,02mar2013
5.8023825,03mar2013
5.8997936,04mar2013
5.998867,05mar2013
6.0996304,06mar2013
6.2021112,07mar2013
6.3063407,08mar2013
6.4123478,09mar2013
6.5201621,10mar2013
6.6298132,11mar2013
6.741334,12mar2013
6.8547535,13mar2013
6.9701056,14mar2013
7.0874214,15mar2013
7.2067351,16mar2013
7.3280797,17mar2013
7.4514885,18mar2013
7.5769968,19mar2013
7.7046413,20mar2013
7.8344545,21mar2013
7.9664783,22mar2013
8.1007423,23mar2013
8.2372885,24mar2013
8.3761539,25mar2013
8.5173769,26mar2013
8.6609955,27mar2013
8.8070507,28mar2013
8.9555855,29mar2013
9.106637,30mar2013
9.2602482,31mar2013
9.416461,01apr2013
9.5753212,02apr2013
9.736867,03apr2013
9.9011507,04apr2013
10.06821,05apr2013
10.238095,06apr2013
10.410848,07apr2013
10.58652,08apr2013
10.765156,09apr2013
10.946807,10apr2013
11.131523,11apr2013
11.31935,12apr2013
11.510342,13apr2013
11.70455,14apr2013
11.902023,15apr2013
12.102823,16apr2013
12.306993,17apr2013
12.514594,18apr2013
12.72568,19apr2013
12.940308,20apr2013
13.158537,21apr2013
13.38042,22apr2013
13.606019,23apr2013
13.835395,24apr2013
14.068604,25apr2013
14.305711,26apr2013
14.546779,27apr2013
14.79187,28apr2013
15.041048,29apr2013
15.294376,30apr2013
15.551926,01may2013
15.813761,02may2013
16.079948,03may2013
16.350561,04may2013
16.625662,05may2013
16.905325,06may2013
17.189625,07may2013
17.478632,08may2013
17.772421,09may2013
18.071068,10may2013
18.374643,11may2013
18.683231,12may2013
18.99691,13may2013
19.31575,14may2013
19.639833,15may2013
